Age,Attrition,Department,JobRole,Gender,MaritalStatus,MonthlyIncome,YearsAtCompany,EducationField,BusinessTravel
31,1,2,7,0,1,4559,2,1,2
41,0,2,7,1,0,8189,9,1,2
26,0,0,1,0,1,2942,8,1,2
36,0,1,4,1,0,4941,3,3,2
51,1,1,4,1,2,10650,4,1,1
39,0,2,7,0,1,5902,15,1,2
25,0,2,7,1,1,8639,2,1,2
30,0,0,1,1,1,6347,11,0,2
32,1,1,2,0,2,4200,5,3,2
45,0,1,6,1,2,3452,6,3,2
38,0,1,6,0,2,4317,3,5,2
30,0,1,6,0,2,2632,5,1,2
32,0,2,7,1,0,4668,8,3,1
30,0,1,6,0,0,3204,3,5,2
30,0,1,2,1,2,2720,5,3,2
41,0,1,3,1,0,17181,7,1,1
41,0,1,2,1,1,2238,5,1,2
19,0,1,2,0,2,1483,1,3,2
40,0,1,6,0,0,5605,20,3,1
35,0,2,7,1,1,7295,10,2,2
53,0,2,8,1,1,2306,7,2,2
45,0,1,2,1,0,2348,17,1,2
32,0,2,7,0,2,8998,9,2,1
29,0,1,4,1,1,4319,10,5,0
51,0,1,4,1,1,6132,1,3,2
58,0,1,6,0,1,3346,1,3,2
40,0,2,7,1,1,10855,12,2,2
34,0,2,8,0,1,2231,4,2,1
22,0,1,6,1,1,2323,2,3,2
27,0,1,6,1,0,2024,2,3,0
28,0,1,6,1,1,2713,5,3,2
57,0,1,0,1,0,9439,5,1,2
27,0,1,6,1,0,2566,1,3,0
50,0,1,3,0,2,19926,5,1,2
41,0,1,6,1,0,2451,9,1,2
30,0,2,7,0,1,9419,10,1,2
38,0,2,7,0,2,8686,8,1,2
32,0,1,6,1,2,3038,5,1,2
27,0,1,6,1,1,3058,5,5,2
19,1,2,8,0,2,2325,0,5,1
36,0,1,2,1,2,2088,8,3,1
30,0,1,2,1,0,3072,12,3,0
45,0,2,7,0,0,5006,5,1,2
56,0,1,6,0,0,4257,2,1,2
33,0,1,6,1,2,2500,3,1,2
19,1,1,2,1,2,1102,1,1,2
46,0,2,7,0,0,10453,24,2,2
38,0,1,2,0,2,2288,2,1,2
31,0,1,6,0,1,3929,4,3,2
34,0,1,6,0,2,2311,3,3,2
41,1,2,8,0,2,3140,4,2,2
50,0,1,2,1,1,3690,3,3,2
53,0,1,4,0,0,4450,4,3,2
33,0,1,6,0,1,2756,8,3,2
40,0,1,3,0,1,19033,20,3,2
55,0,1,5,1,2,18722,24,3,2
34,0,1,4,1,1,9547,10,1,1
51,0,1,0,0,2,13734,7,3,2
52,0,1,3,1,1,19999,33,1,2
27,0,1,6,0,2,2279,7,3,2
35,1,1,4,1,1,5916,1,1,2
43,0,1,6,1,0,2089,5,3,0
45,0,1,3,1,1,16792,20,3,0
37,0,1,6,1,1,3564,8,1,2
35,0,1,2,0,2,4425,6,3,1
42,0,1,4,0,0,5265,5,3,0
38,0,1,4,1,1,6553,1,1,2
38,0,1,4,1,1,6261,7,5,2
27,0,1,4,1,1,4298,2,5,1
49,0,1,4,1,0,6804,7,1,0
34,0,1,6,1,0,3815,5,3,1
40,0,1,2,1,1,2741,7,3,2
38,1,1,0,1,1,6673,1,3,2
29,1,2,7,0,1,7639,10,2,2
22,0,1,6,1,0,2328,4,1,2
36,0,1,2,0,2,2153,8,3,1
40,0,1,0,1,1,4876,3,1,0
46,0,1,0,1,0,9396,4,3,2
32,1,2,7,1,1,10400,14,3,2
30,0,1,4,1,2,8474,11,1,0
27,0,2,7,0,2,9981,7,1,1
51,0,1,5,1,1,12490,10,1,2
30,1,1,6,0,2,2657,5,5,2
41,0,2,3,0,2,13591,1,1,2
30,1,2,7,0,2,6696,6,2,1
29,1,1,6,1,2,2058,6,5,2
45,0,2,7,0,2,8865,19,3,0
54,0,2,7,0,1,5940,6,2,2
36,0,1,2,1,2,5914,13,1,2
33,0,1,6,0,1,2622,3,3,2
37,0,1,5,1,0,12185,10,4,1
38,0,2,7,1,0,10609,16,1,2
31,0,1,4,1,1,4345,5,3,0
59,0,1,6,1,1,2177,1,1,2
37,0,2,8,1,0,2793,9,2,1
29,0,2,7,0,1,7918,11,3,1
35,0,2,7,0,2,8789,10,2,1
29,1,1,6,1,2,2389,4,3,2
52,0,1,2,0,2,3212,2,1,2
42,0,1,3,1,1,19232,22,5,2
59,0,0,1,1,1,2267,2,3,2
50,0,2,3,0,0,19517,7,3,2
33,1,1,2,1,1,2436,5,3,2
43,0,2,3,0,1,16064,17,2,2
33,1,1,2,0,1,2707,9,1,2
52,0,2,3,1,2,19068,33,1,0
32,0,2,8,0,1,3931,4,1,2
32,1,1,2,1,2,3730,3,1,2
39,0,1,2,0,0,2232,3,3,2
32,0,2,7,1,1,4465,3,2,0
41,0,1,6,1,0,3072,1,1,2
40,0,1,6,1,0,3319,9,5,2
45,0,1,3,1,1,19202,24,4,2
31,0,1,5,1,0,13675,2,3,1
33,0,1,6,0,1,2911,2,1,2
34,0,1,4,1,1,5957,11,1,2
37,0,1,6,0,1,3920,3,3,2
45,0,1,4,1,1,6434,3,1,1
37,1,1,4,1,0,10048,1,3,1
39,0,1,0,0,2,10938,19,5,1
29,0,1,6,1,2,2340,6,1,2
42,0,1,6,0,2,6545,3,1,2
29,0,2,7,1,0,6931,3,2,2
25,0,1,4,0,1,4898,4,1,2
42,0,1,2,0,0,2593,9,3,2
40,0,1,5,1,0,19436,21,3,2
51,0,1,6,1,1,2723,1,1,2
31,1,1,2,1,2,3479,5,3,1
32,0,1,2,1,1,2794,5,1,1
38,0,2,7,1,1,5249,8,1,0
32,0,1,2,1,2,2176,6,5,2
46,0,2,3,0,1,16872,7,5,2
28,1,1,2,1,2,3485,0,1,2
29,0,2,7,1,1,6644,0,3,2
31,0,1,0,1,1,5582,9,3,2
25,0,1,0,1,0,4000,6,1,0
45,0,1,0,1,1,13496,20,3,2
36,0,1,2,1,1,3210,15,1,2
55,0,1,3,1,2,19045,36,3,2
47,1,1,3,1,1,11849,10,1,0
28,0,1,6,1,1,2070,5,3,2
37,0,2,7,1,1,6502,5,3,2
21,0,1,6,1,2,3230,3,3,2
37,0,1,5,0,0,13603,5,3,0
35,0,1,3,0,0,11996,7,1,2
38,0,2,7,0,0,5605,8,3,2
26,0,1,4,0,0,6397,6,1,1
50,0,1,5,1,0,19144,10,1,2
53,0,1,5,1,1,17584,5,3,2
42,0,2,7,1,1,4907,20,1,2
29,0,2,7,1,2,4554,10,1,1
55,0,1,2,1,1,5415,10,5,2
26,0,1,0,1,1,4741,5,3,1
37,0,1,6,0,2,2115,17,1,2
44,1,1,2,1,0,3161,1,1,1
38,0,1,0,1,0,5745,2,1,2
26,1,1,2,1,0,2373,3,3,2
28,0,1,6,0,2,3310,5,1,2
49,0,1,5,0,2,18665,3,1,1
36,0,1,6,1,2,4485,8,5,2
31,0,2,8,0,0,2789,2,2,1
26,1,2,7,1,2,5828,8,2,2
37,0,1,6,1,1,2326,4,3,1
42,0,2,7,0,1,13525,20,2,1
18,1,1,2,1,2,1420,0,1,2
35,0,2,7,1,1,8020,11,2,2
36,0,1,2,1,1,3688,1,1,1
51,0,1,4,1,0,5482,4,3,2
41,0,2,3,1,2,16015,22,1,2
18,0,2,8,0,2,1200,0,3,2
28,0,1,0,1,2,5661,8,3,2
31,0,2,7,1,1,6929,8,5,2
39,0,1,0,1,0,9613,18,3,2
36,0,1,2,0,1,5674,9,1,0
32,0,2,7,1,1,5484,13,1,2
38,0,1,5,0,1,12061,10,1,2
58,0,1,0,1,0,5660,5,1,0
31,0,1,6,1,1,4821,5,5,2
31,0,0,1,1,1,6410,2,0,2
45,0,1,2,1,0,5210,24,1,1
31,0,1,6,1,0,2695,2,1,2
33,0,1,3,0,1,11878,10,1,1
39,0,1,3,1,1,17068,21,3,2
43,0,1,2,0,2,2455,8,1,1
49,0,1,0,0,2,13964,7,5,2
52,1,1,6,1,1,4941,8,3,2
27,0,1,6,0,2,2478,4,1,2
32,0,2,7,0,1,5228,13,5,2
27,0,2,7,1,2,4478,5,1,2
31,0,2,7,1,0,7547,7,2,2
32,0,1,6,0,2,5055,7,3,2
28,1,1,6,1,1,3464,3,3,2
30,0,1,6,0,1,5775,10,3,2
31,0,1,4,0,1,8943,10,1,1
39,0,1,3,1,1,19272,21,3,1
39,1,2,7,0,1,5238,1,3,2
33,0,2,7,1,2,4682,7,2,1
47,0,1,5,1,1,18300,3,1,2
43,0,1,2,0,0,5257,9,1,1
27,0,2,7,1,1,6349,5,2,0
54,0,1,6,0,2,4869,4,1,1
43,0,1,0,0,1,9985,1,1,2
45,0,1,6,1,1,3697,10,4,2
40,0,2,7,1,1,7457,4,3,2
29,1,1,2,1,1,2119,7,4,2
29,0,1,2,1,2,3983,3,4,2
30,0,2,7,0,0,6118,10,2,2
27,0,2,7,0,1,6214,8,2,2
37,0,1,4,1,0,6347,6,3,2
38,0,1,5,1,0,11510,11,1,2
31,0,1,4,0,2,7143,11,3,2
29,0,2,7,0,0,8268,7,2,2
35,0,1,4,1,2,8095,16,5,2
23,0,1,6,1,0,2904,4,1,2
41,0,1,4,1,2,6032,5,3,2
47,0,2,8,1,2,2976,0,3,1
42,0,1,5,0,2,15992,1,1,2
29,0,2,7,1,1,4649,4,1,0
42,0,0,1,1,0,2696,3,5,2
32,0,1,2,0,1,2370,8,3,2
48,0,2,3,0,1,12504,0,3,2
37,0,1,6,1,0,5974,7,3,2
30,0,2,7,0,1,4736,2,5,0
26,0,2,7,1,1,5296,8,1,2
42,0,1,0,1,2,6781,1,4,2
21,1,2,8,0,2,2174,3,5,1
36,0,2,7,0,2,6653,1,3,0
36,0,2,7,1,1,9699,13,3,1
57,0,1,0,1,1,6755,3,3,2
40,0,1,2,0,1,2213,7,1,2
21,0,2,8,1,2,2610,3,3,0
33,1,2,8,0,2,2851,1,2,2
37,0,1,2,0,1,3452,5,3,2
46,0,1,4,0,1,5258,1,3,0
41,1,2,7,1,2,9355,8,2,1
50,0,1,0,1,2,10496,4,5,2
40,1,2,7,1,1,6380,6,2,2
31,0,1,6,1,2,2657,2,1,2
21,1,2,8,0,2,2716,1,1,2
29,0,1,6,1,2,2201,3,1,2
35,0,1,0,1,2,6540,1,1,2
27,0,1,2,1,0,3816,5,3,2
28,0,2,7,1,2,5253,7,1,2
49,0,1,0,1,2,10965,5,4,2
51,0,2,7,0,1,4936,7,1,2
36,0,1,6,0,1,2543,2,1,2
34,1,2,7,1,2,5304,5,2,0
55,0,1,3,0,2,16659,5,1,2
24,0,2,7,0,0,4260,5,2,2
30,0,2,8,1,1,2476,1,5,2
26,1,1,6,1,2,3102,6,5,1
22,0,1,6,0,1,2244,2,3,2
36,0,2,7,1,1,7596,10,3,2
30,1,1,6,1,2,2285,1,5,1
37,0,1,2,0,0,3034,18,1,2
40,0,2,7,0,0,5715,5,2,2
42,0,1,2,0,0,2576,5,1,2
37,0,1,4,1,2,4197,1,1,2
43,0,1,5,1,0,14336,25,1,2
40,0,1,2,0,1,3448,1,3,2
54,0,1,5,1,1,19406,4,3,2
34,0,2,7,0,1,6538,3,2,0
31,0,1,4,0,1,4306,13,3,2
43,0,1,2,1,1,2258,3,3,1
43,0,1,0,0,0,4522,5,4,2
25,0,2,7,0,2,4487,5,1,2
37,0,1,6,0,1,4449,13,3,0
31,0,1,2,1,1,2218,4,1,2
39,0,1,3,1,0,19197,21,1,1
56,0,2,7,0,1,13212,7,1,1
30,0,2,7,0,2,6577,5,5,2
41,0,2,7,1,1,8392,10,2,2
28,0,1,2,1,0,4558,10,3,2
25,1,1,2,1,1,4031,2,3,2
52,0,1,4,1,1,7969,5,3,2
45,0,1,6,1,1,2654,2,1,2
52,0,1,3,0,1,16555,5,1,2
42,0,1,6,0,0,4556,5,1,1
30,0,1,4,0,2,6091,5,1,2
60,0,1,3,0,1,19566,29,1,2
46,0,1,4,0,0,4810,10,3,2
42,0,1,0,0,1,4523,6,5,1
24,1,2,8,0,2,3202,5,5,2
34,1,2,8,0,0,2351,2,2,1
38,0,1,2,1,1,1702,1,1,1
40,0,2,3,0,1,18041,20,1,2
26,0,1,6,0,0,2886,3,1,2
30,0,1,2,1,1,2097,5,1,0
29,0,1,5,1,1,11935,10,3,2
29,1,1,6,0,1,2546,2,5,2
19,1,0,1,1,2,2564,1,5,2
30,0,2,7,0,1,8412,9,4,0
57,0,2,3,1,0,14118,1,2,2
50,0,1,3,1,1,17046,27,1,2
30,0,1,2,0,2,2564,11,3,0
60,0,2,7,0,1,10266,18,2,1
47,0,1,4,0,0,5070,5,3,2
46,0,1,5,1,1,17861,3,1,2
35,0,1,2,1,2,4230,5,1,2
54,0,1,2,0,2,3780,1,1,2
34,0,1,6,1,0,2768,7,1,2
46,0,2,7,0,1,9071,3,2,2
31,0,1,4,1,0,10648,13,1,2
33,1,1,3,1,1,13610,7,3,2
33,1,1,2,1,0,3408,4,3,2
30,0,2,8,1,2,2983,3,2,2
35,0,1,0,1,1,7632,8,1,2
31,1,1,0,1,1,9824,1,1,1
34,1,0,1,0,0,9950,3,0,1
42,0,1,2,1,1,2093,2,4,1
36,0,2,7,1,2,9980,10,3,0
22,1,1,2,1,2,3894,2,5,1
48,0,2,7,0,1,4051,9,2,2
55,0,2,3,0,2,16835,10,1,2
41,0,2,7,1,2,6230,14,1,0
35,0,2,7,1,1,4717,11,2,2
40,0,1,4,0,2,13237,20,1,2
39,0,1,2,0,1,3755,8,1,1
31,0,2,7,1,2,6582,6,1,2
42,0,1,4,1,1,7406,10,3,2
45,0,2,7,1,1,4805,8,4,2
26,1,0,1,0,0,2741,7,1,1
29,0,1,4,1,0,4262,3,5,2
33,0,1,5,0,0,16184,6,3,2
31,0,2,3,1,0,11557,5,1,2
18,1,2,8,1,2,1878,0,2,1
40,0,2,7,1,0,10932,1,4,0
41,0,1,0,0,2,6811,8,4,0
26,0,2,7,1,0,4306,0,3,2
35,0,2,7,0,2,4859,5,3,2
34,0,2,7,1,2,5337,10,1,2
26,1,1,2,1,2,2340,1,5,2
37,0,1,4,0,2,7491,6,5,2
46,0,1,0,0,1,10527,2,3,1
41,0,2,3,0,1,16595,18,1,2
37,0,2,7,1,0,8834,9,3,0
52,0,1,6,1,0,5577,10,5,2
32,1,2,7,1,1,4707,4,4,0
24,0,2,8,1,1,2400,2,3,1
38,0,1,0,0,1,9824,1,3,2
37,0,1,4,0,1,6447,6,1,2
49,0,1,5,1,0,19502,31,1,2
24,0,1,6,1,1,2725,6,3,2
26,0,2,7,1,1,6272,5,2,2
24,0,1,2,1,1,2127,1,4,2
50,0,0,3,1,1,18200,32,3,1
25,0,2,8,1,1,2096,7,3,2
24,1,1,2,0,1,2886,6,1,1
30,1,2,8,1,1,2033,1,1,1
34,0,1,6,1,1,3622,6,1,2
31,1,2,7,1,0,4233,3,3,2
35,0,1,2,1,2,3681,3,4,2
31,0,2,7,1,0,5460,7,3,2
27,0,1,6,0,0,2187,5,3,2
37,0,2,7,1,1,9602,3,2,2
20,0,1,6,0,2,2836,1,1,2
42,0,1,0,0,1,4089,10,1,2
43,0,1,5,1,0,16627,1,4,2
38,0,1,6,0,2,2619,0,1,2
43,0,1,2,1,0,5679,8,3,1
48,0,1,3,0,1,15402,3,1,2
44,0,0,1,0,2,5985,2,1,2
34,0,2,8,0,0,2579,8,5,2
27,1,2,8,1,0,3041,4,2,2
21,0,2,8,1,2,3447,3,5,2
44,0,1,3,1,1,19513,2,4,2
22,0,1,6,1,1,2773,2,3,2
33,0,2,7,1,0,7104,5,2,2
32,0,1,6,0,1,6322,6,1,2
30,0,1,6,0,0,2083,1,3,1
53,0,2,7,0,2,8381,14,3,2
34,0,1,6,1,1,2691,10,1,2
45,1,2,7,0,1,4286,1,1,1
26,0,1,2,0,1,2659,3,1,2
37,0,1,4,1,1,9434,10,4,2
29,0,2,7,0,1,5561,6,3,2
35,0,1,6,1,2,6646,17,1,2
33,0,1,0,1,0,7725,13,1,1
54,0,0,1,1,1,10725,9,3,2
36,0,1,4,1,0,8847,3,3,2
27,0,1,6,1,2,2045,4,3,2
20,1,1,6,1,2,1009,1,3,2
33,1,1,6,1,2,3348,10,1,1
35,0,1,2,1,1,1281,1,1,0
23,0,1,6,1,1,2819,3,3,2
25,0,2,7,1,1,4851,3,1,2
38,0,2,7,0,2,4028,7,2,2
29,0,1,6,1,0,2720,10,1,1
48,0,2,7,1,1,8120,2,2,2
27,0,2,7,0,0,4647,6,3,1
37,0,1,6,1,2,4680,1,1,2
50,0,1,2,1,1,3221,20,3,2
34,0,1,0,0,2,8621,8,3,2
24,1,2,7,0,2,4577,2,1,2
39,0,1,0,0,2,4553,20,5,2
32,0,2,7,1,2,5396,10,2,2
50,1,2,7,1,1,6796,4,5,1
38,0,1,0,0,2,7625,9,1,2
27,0,1,4,0,1,7412,9,1,2
32,0,1,5,0,2,11159,7,1,2
47,0,2,7,1,2,4960,7,2,2
40,0,2,7,1,1,10475,18,1,1
53,0,1,5,1,1,14814,5,1,2
41,0,0,3,1,0,19141,21,0,2
60,0,2,7,1,2,5405,2,2,2
27,0,1,4,1,0,8793,9,1,1
41,0,0,3,1,1,19189,22,0,2
50,0,2,8,1,1,3875,2,2,2
28,1,1,6,0,2,2216,7,1,2
36,0,1,5,0,1,11713,8,1,0
38,0,1,4,0,2,7861,1,1,2
44,0,1,2,1,2,3708,5,3,0
47,0,2,7,0,0,13770,22,3,1
30,0,2,7,1,0,5304,8,2,2
29,0,2,8,1,2,2642,1,1,2
42,1,1,6,1,0,2759,2,3,1
43,0,2,7,1,1,6804,2,1,1
34,0,1,0,0,2,6142,5,3,2
23,0,1,2,1,1,2500,4,3,2
39,0,0,1,0,1,6389,8,0,2
56,0,1,0,1,1,11103,10,3,2
40,0,1,6,0,2,2342,4,3,2
27,0,1,0,0,2,6811,7,3,2
29,0,2,8,1,0,2297,2,2,2
53,0,1,2,1,2,2450,2,1,2
35,0,1,0,0,0,5093,1,1,0
32,0,1,2,1,1,5309,10,1,1
38,0,1,6,1,1,3057,1,3,2
34,0,1,4,0,0,5121,0,1,2
52,0,2,3,1,1,16856,34,2,2
33,1,1,6,1,2,2686,10,4,2
25,0,2,7,0,2,6180,6,3,2
45,0,2,8,1,2,6632,8,5,2
23,0,1,6,1,2,3505,2,3,2
47,1,2,7,0,2,6397,5,1,1
34,0,2,7,1,2,6274,6,4,2
55,1,1,3,1,1,19859,5,3,2
36,0,2,7,1,2,7587,10,1,0
52,0,1,6,1,1,4258,4,3,0
26,0,1,2,0,0,4364,2,1,1
29,0,1,0,0,1,4335,8,3,2
26,1,2,7,1,2,5326,4,5,2
34,0,1,6,0,2,3280,4,1,2
54,0,1,4,0,0,5485,5,3,2
27,0,2,7,1,1,4342,4,2,1
37,0,1,6,0,0,2782,5,1,2
38,0,1,4,0,2,5980,15,1,1
34,0,1,6,0,2,4381,6,3,2
35,0,2,8,0,1,2572,3,1,2
30,0,1,2,1,1,3833,2,1,2
40,0,1,0,0,1,4244,8,3,1
34,0,2,7,0,1,6500,3,1,2
42,0,1,3,1,0,18430,24,1,1
23,1,1,2,1,1,1601,0,1,2
24,0,1,2,1,0,2694,1,1,0
52,0,1,2,0,1,3149,5,1,2
50,0,1,5,1,1,17639,4,3,2
29,1,1,2,0,1,2319,1,1,2
33,0,1,5,1,1,11691,13,3,2
33,1,2,7,0,2,5324,3,2,2
47,0,1,3,0,1,16752,26,4,2
36,0,1,4,0,1,5228,9,4,2
29,0,1,6,1,1,2700,10,1,2
58,1,1,5,1,2,19246,31,1,2
35,0,1,6,0,2,2506,2,1,2
42,0,1,4,0,1,6062,4,1,2
28,1,1,6,1,2,4382,2,3,2
36,0,0,1,1,1,2143,5,0,2
32,0,1,4,0,1,6162,14,1,2
40,0,1,2,1,2,5094,1,3,1
30,0,1,4,0,2,6877,0,3,2
45,0,1,6,0,2,2274,1,1,2
42,0,1,4,1,1,4434,9,1,2
38,0,1,0,1,0,6288,4,1,1
34,0,1,6,0,2,2553,5,1,1
49,1,2,7,0,1,7654,9,2,2
55,1,2,7,1,2,5160,9,3,2
43,0,1,5,1,1,17159,4,1,2
27,0,1,5,1,0,12808,9,5,2
35,0,1,4,1,2,10221,8,4,2
28,0,2,7,0,1,4779,8,2,2
34,0,0,1,1,1,3737,3,0,2
26,1,1,6,0,1,2366,8,3,1
27,0,1,6,1,1,1706,0,3,0
51,0,2,3,0,1,16307,20,2,2
44,0,1,0,1,2,5933,5,3,2
25,0,1,6,1,2,3424,4,3,2
33,0,2,7,1,0,4037,9,3,2
35,0,1,6,0,2,2559,6,3,2
36,0,2,7,1,1,6201,18,1,2
32,0,2,7,1,0,4403,5,1,2
30,0,1,6,1,0,3761,5,1,1
53,0,2,7,0,1,10934,5,2,2
45,0,2,7,1,0,10761,5,2,2
32,0,1,6,0,1,5175,5,3,2
52,0,1,4,0,1,13826,9,3,1
37,0,2,7,1,0,6334,1,2,2
28,0,0,1,1,0,4936,5,3,2
22,0,1,4,1,1,4775,2,1,2
44,0,1,2,1,1,2818,3,1,2
42,0,1,6,1,2,2515,2,3,1
36,0,0,1,1,1,2342,5,1,2
25,0,2,7,1,1,4194,5,4,2
35,0,1,4,0,1,10685,17,1,2
35,1,1,6,0,0,2022,10,1,1
32,0,1,2,1,0,2314,3,1,0
25,0,2,7,1,1,4256,5,2,2
49,0,1,6,0,1,3580,4,5,2
24,0,1,2,1,1,3162,5,1,0
32,0,2,7,1,1,6524,10,1,1
38,0,2,8,1,1,2899,2,2,2
42,0,1,2,0,1,5231,5,1,2
31,0,1,6,1,1,2356,6,1,2
29,1,2,8,0,0,2800,3,3,2
53,0,2,7,1,1,11836,2,2,2
35,0,1,4,1,1,10903,13,5,2
37,0,2,8,0,1,2973,5,3,1
53,0,1,5,0,2,14275,12,1,2
43,0,1,0,0,1,5562,5,1,1
47,0,2,7,0,1,4537,7,2,2
37,0,2,7,1,2,7642,10,3,0
50,0,1,3,1,0,17924,31,1,0
39,0,0,1,0,1,5204,5,1,2
33,0,0,1,1,0,2277,4,0,2
32,1,1,2,1,2,2795,1,1,2
29,0,1,2,0,0,2532,4,3,2
44,0,1,6,1,1,2559,8,1,2
28,0,2,7,1,2,4908,4,3,2
58,1,1,2,1,0,2380,1,1,1
